variant,total_kwh,total_kwh_std,runtime_s,runtime_s_std,cpu_kwh,gpu_kwh,ram_kwh,f1,f1_std,accuracy,peak_mem_gb,inference_energy,inference_energy_std,inference_time,throughput_qps,latency_ms,avg_gpu_util,avg_gpu_mem_util,num_runs,eval_time_s,Δtotal_kwh,Δinference_energy,Δeval_time_s,Δruntime_s,Δf1,Δaccuracy,percent_diff_energy,percent_diff_time,percent_diff_eval_time,percent_diff_f1,f1_per_kwh,on_pareto
v0_baseline,0.5123334852677477,0.0,7918.790105597931,0.0,0.01960156978929884,0.47073560408818205,0.021996311390266865,0.993527441931505,0.0,0,0,0,0.0,0,0,0,0,0,1,516.7841443179641,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.9392201964161746,False
v1_gradient_checkpointing,0.6696355323919724,0.0,10443.63233720098,0.0,0.020752073408589884,0.6198737022874545,0.02900975669592784,0.9932328745009681,0.0,0,0,0,0.0,0,0,0,0,0,1,517.5256655230187,30.703057997862064,0,0.14348760758386522,2524.8422316030483,-0.00029456743053690726,0,30.703057997862064,31.884191876966067,0.14348760758386522,-0.029648645634210387,1.4832439834145141,False
v2_lora_peft,0.07559326723610993,0.0,1701.4404883841053,0.0,0.008066273314957935,0.06280111524085186,0.004725878680300148,0.953678919802555,0.0,0,0,0,0.0,0,0,0,0,0,1,235.3335831919685,-85.24530029564541,0,-54.4619188147588,-6217.349617213826,-0.03984852212894996,0,-85.24530029564541,-78.5138832360094,-54.4619188147588,-4.010812429245127,12.615924071965432,True
v3_quantization,0.4852558757799474,0.0,11629.734273629963,0.0,0.027504119602722525,0.42544727674643923,0.032304479430785675,0.9932314809874916,0.0,0,0,0,0.0,0,0,0,0,0,1,642.8092490369454,-5.285153179798393,0,24.386410865082826,3710.9441680320324,-0.000295960944013407,0,-5.285153179798393,46.86251458298789,24.386410865082826,-0.029788904817569288,2.046820101644477,False
v4_tokenizer,0.51286410251821,0.0,7931.63784535398,0.0,0.019687298689270792,0.47114480524887536,0.02203199858006378,0.9946076668216501,0.0,0,0,0,0.0,0,0,0,0,0,1,518.5047991069732,0.10356872344290081,0,0.3329542533236965,12.847739756049123,0.0010802248901451428,0,0.10356872344290081,0.16224372138575605,0.3329542533236965,0.10872622582473315,1.9393201082665659,True
v5_power_limit_100w,0.6480443825838933,0.0,20506.25378634897,0.0,0.026601847082571753,0.5644810765844994,0.056961458916822125,0.9930791518442916,0.0,0,0,0,0.0,0,0,0,0,0,1,1382.855488121044,26.488781471158866,0,167.58860606029126,12587.46368075104,-0.0004482900872133655,0,26.488781471158866,158.9569051950593,167.58860606029126,-0.045121057385375286,1.5324245970386627,False
v6_optimizer,0.48879889007997795,0.0,7632.9797166410135,0.0,0.012915637774446393,0.45468084096660366,0.02120241133892786,0.9935599965544747,0.0,0,0,0,0.0,0,0,0,0,0,1,518.3747925100033,-4.5936086288543985,0,0.3077974062339923,-285.81038895691745,3.25546229696938e-05,0,-4.5936086288543985,-3.6092684001672564,0.3077974062339923,0.0032766707385962833,2.032655999672804,False
v7_f16,0.40726751305378966,0.0,6606.2887162569095,0.0,0.02666493402554126,0.3622521098014566,0.018350469226791757,0.9933850269990302,0.0,0,0,0,0.0,0,0,0,0,0,1,421.4192061279901,-20.507340479424276,0,-18.45353407965597,-1312.5013893410214,-0.0001424149324747992,0,-20.507340479424276,-16.57451923638172,-18.45353407965597,-0.014334272659639075,2.4391462494771328,False
v8_sequence_length_trimming,0.27341654201900634,0.0,4442.942382449051,0.0,0.014607592648842547,0.24646777772961936,0.012341171640544457,0.9897696202904718,0.0,0,0,0,0.0,0,0,0,0,0,1,255.413112038048,-46.633091554396906,0,-50.57644185753137,-3475.8477231488796,-0.003757821641033221,0,-46.633091554396906,-43.89367159374186,-50.57644185753137,-0.37823028156400834,3.6200063572659356,False
v10_dataloader_pin_memory,0.4079028006399652,0.0,6642.134608070948,0.0,0.02753105297315809,0.3619217398149379,0.018450007851869225,0.9933690791945619,0.0,0,0,0,0.0,0,0,0,0,0,1,425.8715265049832,-20.38334163795805,0,-17.59199054625884,-1276.6554975269828,-0.00015836273694314063,0,-20.38334163795805,-16.12185044056784,-17.59199054625884,-0.015939442662526712,2.4353083078518933,False
v11_torch_compile,0.3153955287504816,0.0,4757.085481254035,0.0,0.015938328808430623,0.2862433984389785,0.013213801503072478,0.9934304766094271,0.0,0,0,0,0.0,0,0,0,0,0,1,444.9769107489847,-38.439407569533635,0,-13.895014844882356,-3161.7046243438963,-9.69653220779243e-05,0,-38.439407569533635,-39.9266123003921,-13.895014844882356,-0.00975970244862237,3.1497925178113677,False
v12_attention,0.37510743605833224,0.0,5771.804352890991,0.0,0.026033627399940813,0.3330413503217553,0.016032458336636125,0.9939095870508714,0.0,0,0,0,0.0,0,0,0,0,0,1,338.5911705130711,-26.78451695143458,0,-34.48112248878429,-2146.98575270694,0.00038214511936640605,0,-26.78451695143458,-27.11254780183147,-34.48112248878429,0.03846346897308465,2.649666446218652,False
v13_layer_pruning_4_top,0.435379916230293,0.0,6606.560526968096,0.0,0.026548521172966605,0.3904801690505515,0.018351226006774874,0.9945251471079603,0.0,0,0,0,0.0,0,0,0,0,0,1,430.3144888730021,-15.020210712410966,0,-16.73225782866887,-1312.2295786298346,0.0009977051764552547,0,-15.020210712410966,-16.57108675859708,-16.73225782866887,0.10042049513153133,2.284269691902621,False
v14_layer_pruning_4_bottom,0.4347006752484594,0.0,6595.396424529841,0.0,0.026198804448193457,0.39018165270062966,0.018320218099636264,0.9925338041148036,0.0,0,0,0,0.0,0,0,0,0,0,1,427.3763307390036,-15.152788613595508,0,-17.300804322655484,-1323.3936810680898,-0.0009936378167013649,0,-15.152788613595508,-16.712069185071083,-17.300804322655484,-0.10001110938311329,2.2832580224254464,False
v15_layer_pruning_8_top,0.3392125735001997,0.0,5270.642068887013,0.0,0.014524767992860652,0.3100474566488778,0.014640348858461301,0.9942444726330658,0.0,0,0,0,0.0,0,0,0,0,0,1,340.62721716589294,-33.79066891891212,0,-34.08713852561356,-2648.148036710918,0.0007170307015608168,0,-33.79066891891212,-33.44132122960168,-34.08713852561356,0.07217019594011877,2.931036613336152,False
v16_layer_pruning_8_bottom,0.3393927273685478,0.0,5266.671281824005,0.0,0.014878629417060675,0.3098847756854006,0.014629322266086497,0.9924530972190342,0.0,0,0,0,0.0,0,0,0,0,0,1,336.7820485229604,-33.75550551977298,0,-34.83119553378809,-2652.118823773926,-0.0010743447124708094,0,-33.75550551977298,-33.49146509009119,-34.83119553378809,-0.10813437728324732,2.924202604204084,False
v17_layer_pruning_12_top,0.2617828632531708,0.0,3936.835651678033,0.0,0.02129158592131066,0.2295560011446547,0.010935276187205453,0.9945756959265908,0.0,0,0,0,0.0,0,0,0,0,0,1,250.80256250698585,-48.903815428663236,0,-51.4686034266807,-3981.954453919898,0.0010482539950857905,0,-48.903815428663236,-50.2848844434579,-51.4686034266807,0.10550830815985236,3.7992391234743828,False
v18_layer_pruning_12_bottom,0.26249846335828414,0.0,3953.074674043106,0.0,0.02162905984240069,0.22988896363324685,0.010980439882636549,0.9931457060247063,0.0,0,0,0,0.0,0,0,0,0,0,1,252.01413646701255,-48.7641407586113,0,-51.23415854803108,-3965.715431554825,-0.00038173590679868585,0,-48.7641407586113,-50.079814954956205,-51.23415854803108,-0.038422281125577926,3.7834343611724757,False
v19_layer_pruning_16_top,0.16219588519050301,0.0,2549.1738604609855,0.0,0.008268796628920902,0.14684636997700196,0.007080718584580205,0.9945781949183105,0.0,0,0,0,0.0,0,0,0,0,0,1,162.62218123697676,-68.34173641690847,0,-68.53189421057016,-5369.6162451369455,0.0010507529868054588,0,-68.34173641690847,-67.80854364786194,-68.53189421057016,0.10575983535620337,6.131957008343055,True
